transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
pipe,2,65536,25261,23160,168653,243662,1275039,1683416
unix,2,65536,19100,19405,48148,849487,2916107,5257881
zcring,2,65536,13589,13203,15070,19391,1276322,1886794
pipe,2,65536,25894,23557,164400,347709,1882066,2386654
unix,2,65536,18380,19432,46515,320749,1609430,1662236
zcring,2,65536,13370,13287,15267,19056,57990,73196
pipe,2,65536,25805,23612,163675,256866,1256493,1767191
unix,2,65536,18762,19436,52094,831088,1467029,1733906
zcring,2,65536,13433,13354,15470,19042,26530,42085
pipe,2,65536,25206,23494,162116,268010,1583003,2149940
unix,2,65536,17875,19433,43288,190739,1342773,1714241
zcring,2,65536,20700,13429,17720,2126788,4202892,4804414
pipe,2,65536,26312,23375,166107,954893,2256891,5354561
unix,2,65536,19118,19438,54357,692743,2490691,4086312
zcring,2,262144,47260,47092,52110,55831,57226,57226
pipe,2,262144,126272,130243,328238,3017487,6018727,6018727
unix,2,262144,56027,54780,132014,2911597,5912584,5912584
zcring,2,262144,47516,47339,52576,67564,80165,80165
pipe,2,262144,126842,129588,343357,2363226,6622800,6622800
unix,2,262144,48031,54981,91362,802972,1130619,1130619
zcring,2,262144,47583,47518,49197,57036,81387,81387
pipe,2,262144,119236,128217,330054,484923,1758632,1758632
unix,2,262144,48268,54740,92061,847789,1505041,1505041
zcring,2,262144,47742,47676,50494,54065,55667,55667
pipe,2,262144,121424,130104,328635,1506622,1906522,1906522
unix,2,262144,48370,54451,91268,1170168,1789495,1789495
zcring,2,262144,48034,47876,53111,55306,60686,60686
pipe,2,262144,118149,127641,325965,455550,1643994,1643994
unix,2,262144,47484,54411,90666,635870,2972984,2972984
zcring,2,1048576,190238,187944,218773,231491,231493,231493
pipe,2,1048576,554021,617711,970035,1758217,1907724,1907724
unix,2,1048576,243406,257277,976460,1388961,1882783,1882783
zcring,2,1048576,191935,188447,235302,327207,327208,327208
pipe,2,1048576,561026,617418,992804,2249424,2437289,2437289
unix,2,1048576,232469,255980,323079,776070,787973,787973
zcring,2,1048576,188373,187036,223886,240333,240336,240336
pipe,2,1048576,564443,619381,1002144,2337551,2371353,2371353
unix,2,1048576,236895,261314,352892,1790989,1890888,1890888
zcring,2,1048576,190234,188477,220488,315941,315943,315943
pipe,2,1048576,560211,612552,1130491,2065880,2116068,2116068
unix,2,1048576,238730,263728,339930,1841833,1942889,1942889
zcring,2,1048576,194274,192865,224864,242357,242359,242359
pipe,2,1048576,560018,617067,942370,1240963,2209834,2209834
unix,2,1048576,255046,265988,984528,6023883,6057846,6057846
zcring,4,64,1491,1012,4453,4976,9658,79560
pipe,4,64,6572,5636,7672,342603,1496999,1605488
unix,4,64,6607,6562,9955,103550,755487,865366
zcring,4,64,1548,1036,4627,6584,81421,276527
pipe,4,64,5845,5625,7611,182872,827237,932709
unix,4,64,9111,6579,9977,850910,2341706,2562080
zcring,4,64,1540,1044,4683,6153,38313,140960
pipe,4,64,6231,5672,7667,371268,872694,972308
unix,4,64,6823,6535,9810,93257,1482047,1695879
zcring,4,64,1545,1037,4693,6232,14148,98678
pipe,4,64,6561,5690,9390,435092,1324676,1532092
unix,4,64,6829,6522,9847,56150,1505364,1728646
zcring,4,64,1549,1034,4676,5656,11333,79929
pipe,4,64,5767,5586,7576,99220,741867,946771
unix,4,64,6865,6552,9897,90943,1446504,1661671
zcring,4,256,1528,1015,5517,6517,19512,100939
pipe,4,256,6631,5726,9388,413969,1539302,1747934
unix,4,256,7440,6704,10059,503859,975252,1074079
zcring,4,256,1528,1040,4563,6149,46503,97462
pipe,4,256,6221,5691,7678,364605,869171,969496
unix,4,256,8065,6741,10137,656599,995802,1108908
zcring,4,256,1541,1034,4594,5698,21556,94602
pipe,4,256,5370,5636,7625,18910,127945,230531
unix,4,256,6494,6680,9967,58257,558051,766218
zcring,4,256,1570,1067,4772,5879,87388,191755
pipe,4,256,5387,5635,7612,22416,148404,176187
unix,4,256,7317,6746,11674,148527,1513376,1728969
zcring,4,256,1576,1063,4721,6495,60627,101452
pipe,4,256,6440,5678,7646,417844,1495759,1712279
unix,4,256,6349,6678,9939,30419,130664,228029
zcring,4,1024,3141,1149,4576,231165,2501656,2708433
pipe,4,1024,5624,5871,8050,66678,830914,1038479
unix,4,1024,6908,7033,10312,88892,744998,955378
zcring,4,1024,1626,1139,4643,5321,36579,120525
pipe,4,1024,5972,5894,9657,116585,1057225,1267087
unix,4,1024,7064,7013,11981,115791,717132,927558
zcring,4,1024,1655,1170,4836,5880,90533,137087
pipe,4,1024,6023,5893,7966,199496,900372,1005444
unix,4,1024,10437,7022,11219,905495,2789027,3018181
zcring,4,1024,1690,1167,4845,6245,58163,138067
pipe,4,1024,6376,5885,8032,261815,1452598,1663635
unix,4,1024,9495,7043,11763,825761,1195668,1311690
zcring,4,1024,1681,1177,4876,6276,35095,123094
pipe,4,1024,6118,5879,8025,98682,1595516,1808723
unix,4,1024,6678,6981,10326,42947,161830,237887
zcring,4,4096,2126,1592,6149,7504,37502,261025
pipe,4,4096,5983,6294,8929,89580,744917,856994
unix,4,4096,8077,8164,12450,115595,169498,231605
zcring,4,4096,2097,1595,5000,6720,17935,261288
pipe,4,4096,6553,6331,9217,159754,1525533,1746015
unix,4,4096,8521,8222,14048,146838,737042,937551
zcring,4,4096,2250,1714,5260,7523,76433,255477
pipe,4,4096,6098,6274,9012,131778,771642,970940
unix,4,4096,8552,8299,13653,145014,677591,890843
zcring,4,4096,2175,1636,5165,6831,12168,274913
pipe,4,4096,6159,6305,8982,100735,928520,1087691
unix,4,4096,9585,8263,19071,522090,916727,955750
zcring,4,4096,2191,1645,5268,6820,35177,260016
pipe,4,4096,9192,6381,26243,813137,939822,961769
unix,4,4096,10119,8258,22883,694848,1092188,1313742
zcring,4,16384,5311,4767,8696,11337,46119,764137
pipe,4,16384,10794,10029,33048,189249,855366,885166
unix,4,16384,11149,11210,18104,68896,749225,969815
zcring,4,16384,5276,4760,8675,10730,46756,759733
pipe,4,16384,12584,10003,67380,805836,2450538,2788687
unix,4,16384,11310,11237,19189,133675,604071,790623
zcring,4,16384,5266,4736,8658,11692,66414,763292
pipe,4,16384,11645,10060,38518,239805,1694846,1800692
unix,4,16384,14927,11284,60975,955789,1738960,1840607
zcring,4,16384,5247,4752,8742,18050,75649,754518
pipe,4,16384,14439,10051,127323,960647,1392273,1963147
unix,4,16384,14180,11289,52259,860524,1619374,1852475
zcring,4,16384,5253,4781,8784,12249,37803,768024
pipe,4,16384,10683,9976,25116,178095,941352,1154246
unix,4,16384,11230,11173,17498,183904,638369,757374
zcring,4,65536,15149,14822,18935,24090,63307,2598033
pipe,4,65536,34724,30254,208024,299001,1005761,1483063
unix,4,65536,25861,25813,78748,611865,1011672,1169251
zcring,4,65536,15129,14807,18983,23091,32928,2639949
pipe,4,65536,37275,31087,215575,349528,1660712,1856234
unix,4,65536,25717,25939,72723,274648,1026359,1268389
zcring,4,65536,15245,14902,19233,27084,36274,2655352
pipe,4,65536,35083,30666,209894,312202,1080589,1128593
unix,4,65536,25620,25876,79525,209679,1520283,1785016
zcring,4,65536,15329,15035,19367,26255,66720,2635013
pipe,4,65536,34649,30704,213134,331365,1665482,1776644
unix,4,65536,26409,25962,77485,591874,2139997,2314212
zcring,4,65536,15372,15020,19397,25882,42026,2637333
pipe,4,65536,36754,31016,204542,333291,1035917,1113168
unix,4,65536,25551,25758,69093,205626,1628058,1892045
zcring,4,262144,51270,50772,55819,61646,2635193,2635193
pipe,4,262144,199510,198013,476460,579382,2970705,2970705
unix,4,262144,78124,82641,148330,1001538,1585466,1585466
zcring,4,262144,51216,50682,55757,63911,2646298,2646298
pipe,4,262144,191978,194819,471899,1344995,2147322,2147322
unix,4,262144,74730,80952,145089,263384,1157291,1157291
zcring,4,262144,51251,50650,56021,64189,2666839,2666839
pipe,4,262144,200785,198122,468853,1576440,1707253,1707253
unix,4,262144,75187,82195,144499,256217,1752450,1752450
zcring,4,262144,51676,51445,58474,72451,2660607,2660607
pipe,4,262144,195649,194187,567059,636265,2678318,2678318
unix,4,262144,81629,82202,169634,2006425,5035053,5035053
zcring,4,262144,51563,50921,56290,60071,2734247,2734247
pipe,4,262144,198637,200776,458094,645263,2965845,2965845
unix,4,262144,74676,81218,144533,277413,1218471,1218471
zcring,4,1048576,197568,199328,233799,264915,2813274,2813274
pipe,4,1048576,912720,941883,1644241,1944071,2733915,2733915
unix,4,1048576,373749,413732,602032,1685081,1898753,1898753
zcring,4,1048576,199460,201146,234826,268978,2818689,2818689
pipe,4,1048576,936238,944852,1782458,4543274,7356583,7356583
unix,4,1048576,370839,406323,587162,2162560,2392929,2392929
zcring,4,1048576,200515,203368,236218,265599,2861255,2861255
pipe,4,1048576,924007,971472,1760912,2107110,3971083,3971083
unix,4,1048576,385529,411558,586232,3224459,9208770,9208770
zcring,4,1048576,202221,204480,246560,258649,2885390,2885390
pipe,4,1048576,921043,952678,1604441,1726094,4338228,4338228
unix,4,1048576,375845,416761,613294,2061036,2333506,2333506
zcring,4,1048576,204209,206030,227200,257081,2966632,2966632
pipe,4,1048576,931757,944785,1631388,2666321,3014770,3014770
unix,4,1048576,375968,411007,588006,1795928,2112651,2112651
