transport,consumers,size,mean_ns,p50_ns,p99_ns,p999_ns,p9999_ns,max_ns
zcring,4,64,1758,1213,5443,6986,44100,106522
pipe,4,64,8504,6245,11801,766514,1452855,1563543
unix,4,64,7632,6894,10730,336892,895196,1004055
zcring,4,64,1744,1202,5453,7375,71345,98803
pipe,4,64,8062,6218,8823,762692,2250139,2459203
unix,4,64,7982,6869,11686,516370,950825,961578
zcring,4,64,1746,1197,5417,8829,94506,158980
pipe,4,64,7420,6203,8342,554506,2042116,2251031
unix,4,64,9802,7004,38444,1005700,2578458,2817239
zcring,4,64,1792,1218,5447,9064,117805,248732
pipe,4,64,7030,6206,8802,279300,1958992,2165732
unix,4,64,18147,7369,103490,2294079,5265423,5759911
zcring,4,256,1745,1205,5395,7578,68942,187802
pipe,4,256,9461,6237,21240,851285,2243336,2450717
unix,4,256,8647,6993,11741,692962,1413340,1636669
zcring,4,256,1713,1176,5315,6762,79554,127663
pipe,4,256,15186,6320,305904,1708003,2810917,3021198
unix,4,256,8040,6964,11270,498486,846750,954561
zcring,4,256,2015,1174,5317,11273,989979,1195645
pipe,4,256,6705,6251,8654,268421,1229052,1434129
unix,4,256,7167,6980,10277,153517,741359,948956
zcring,4,256,1759,1215,5400,6827,87457,117903
pipe,4,256,7623,6254,9667,591108,1399103,1612383
unix,4,256,7050,6960,10504,111132,648831,858186
zcring,4,256,1719,1180,5331,7041,77500,172711
pipe,4,256,6279,6230,7864,128990,788745,993111
unix,4,256,7246,6946,10634,144849,829887,932293
zcring,4,1024,1793,1276,5362,7195,45236,141755
pipe,4,1024,10030,6446,10521,1306796,2169947,2386573
unix,4,1024,7690,7278,11610,347539,888096,1094586
zcring,4,1024,1796,1269,5330,6460,78478,143195
pipe,4,1024,8310,6426,10024,813596,2288351,2505440
unix,4,1024,7250,7248,10495,124480,1199605,1415311
zcring,4,1024,1770,1260,5246,6128,58353,138815
pipe,4,1024,9708,6419,11269,912807,2803976,3024156
unix,4,1024,9535,7326,12115,870004,2078946,2295984
zcring,4,1024,1767,1248,5179,6384,68199,140122
pipe,4,1024,6623,6394,8967,231624,673067,773963
unix,4,1024,8920,7236,11383,647542,2643285,2866755
zcring,4,1024,1766,1249,5228,6317,19076,131628
pipe,4,1024,6481,6392,8465,140892,720420,853859
unix,4,1024,7609,7298,11217,334168,821140,930464
zcring,4,4096,2297,1794,5916,9085,108856,290084
pipe,4,4096,6853,7006,9585,81334,287239,485610
unix,4,4096,9535,8540,36229,446045,1316933,1537447
zcring,4,4096,2211,1709,5525,7697,69280,284762
pipe,4,4096,7813,7136,9770,474536,1343544,1557920
unix,4,4096,9547,8575,44045,419262,925319,1039743
zcring,4,4096,2250,1740,5855,7603,64860,280761
pipe,4,4096,14144,7233,55137,2033274,2908505,3608654
unix,4,4096,8930,8523,15948,296348,789705,1001938
zcring,4,4096,3291,1767,6852,409279,1335439,1560321
pipe,4,4096,15519,7257,93020,1950494,2857203,3137057
unix,4,4096,9035,8525,18390,259504,828701,956194
zcring,4,4096,2313,1753,5828,9139,240441,337457
pipe,4,4096,10541,7075,71840,753358,948034,965290
unix,4,4096,10082,8536,21260,745657,1569388,1733516
zcring,4,16384,4627,4163,8425,12282,94441,842323
pipe,4,16384,11709,10016,60224,561052,855281,1169088
unix,4,16384,20722,10838,320674,1963697,3012718,3703129
zcring,4,16384,4571,4122,8583,12220,22525,838709
pipe,4,16384,10486,10051,33748,167022,253083,430408
unix,4,16384,18721,10790,122988,1631487,2393118,2639197
zcring,4,16384,4586,4131,8404,11641,101349,845011
pipe,4,16384,11225,9968,51068,250549,998489,1033482
unix,4,16384,12682,10677,19579,270659,2768322,2988039
zcring,4,16384,4625,4162,8416,11756,98163,838973
pipe,4,16384,11179,9976,40906,384353,1257983,1466903
unix,4,16384,11809,10790,19931,266675,1324269,1549773
zcring,4,16384,4596,4139,8389,11608,102748,877490
pipe,4,16384,11158,9950,37311,261937,1477956,1668614
unix,4,16384,12653,10851,20779,586390,2076082,2366377
zcring,4,65536,12027,11674,17758,21497,74834,2946395
pipe,4,65536,36170,31576,199875,371225,2682743,2782461
unix,4,65536,26951,26755,82941,252134,907756,1175243
