t_ms,phase_us,seq,spin_ns,gap_ewma_ns,wake_ewma_ns,burn_ewma_ns,blocked
54.333,200,213,32349,246339,5816,30697,1
54.587,200,214,33360,246424,5764,30749,1
54.843,200,215,32252,246529,5750,30832,1
55.106,200,216,31180,246720,5881,30879,1
55.367,200,217,30146,246794,6014,30890,1
55.627,200,218,29146,246852,6136,30870,1
55.887,200,219,30057,246897,6269,30820,1
56.146,200,220,30996,246930,6378,30798,1
56.399,200,221,31965,246905,6360,30808,1
56.653,200,222,32964,246956,6296,30845,1
56.907,200,223,31870,247025,6242,30912,1
57.161,200,224,30810,247090,6175,30943,1
57.415,200,225,29788,247172,6116,30940,1
57.669,200,226,28800,247237,6050,30905,1
57.924,200,227,29701,247307,5999,30840,1
58.177,200,228,30630,247365,5937,30806,1
58.433,200,229,31587,247452,5896,30809,1
58.689,200,230,32574,247502,5915,30835,1
58.949,200,231,33591,247582,6011,30893,1
59.211,200,232,32475,247632,6194,30979,1
59.468,200,233,31397,247603,6280,31028,1
59.727,200,234,30355,247658,6346,31042,1
59.987,200,235,29347,247725,6417,31024,1
60.224,200,236,28373,247084,6489,30977,1
60.484,200,237,27431,247176,6556,30898,1
60.744,200,238,26519,247256,6638,36792,1
61.005,200,239,25639,247325,6752,36475,1
61.217,200,240,24787,245989,6737,36139,1
61.472,200,241,23965,246076,6680,35786,1
61.727,200,242,23169,246177,6631,35418,1
61.981,200,243,22401,246255,6566,35035,1
62.217,200,244,21659,245724,6537,34645,1
62.481,200,245,20939,246033,6556,34244,1
62.735,200,246,20245,246055,6487,33829,1
62.989,200,247,19573,246161,6411,33405,1
63.215,200,248,18923,245337,6374,32974,1
63.469,200,249,18295,245435,6318,32536,1
63.731,200,250,17687,245672,6393,32095,1
63.992,200,251,17099,245819,6469,31646,1
64.225,200,252,16531,245072,6551,31193,1
64.484,200,253,15983,245199,6622,30736,1
64.744,200,254,16482,245330,6688,30280,1
65.003,200,255,16997,245453,6745,29852,1
65.229,200,256,17528,244402,6914,29452,1
65.487,200,257,18075,244450,7021,29083,1
65.747,200,258,18640,244576,7121,28741,1
66.006,200,259,19223,244687,7214,28430,1
66.226,200,260,19824,243564,7311,28145,1
66.486,200,261,20443,243712,7410,27887,1
66.746,200,262,21082,243852,7497,27659,1
67.004,200,263,21741,243981,7530,27455,1
67.214,200,264,22420,242752,7420,27279,1
67.469,200,265,23121,242970,7339,27128,1
67.723,200,266,23844,243149,7257,27004,1
67.977,200,267,24589,243332,7177,26907,1
68.215,200,268,25358,242959,7121,26835,1
68.478,200,269,26151,243242,7222,26791,1
68.739,200,270,26968,243404,7352,26773,1
68.999,200,271,27811,243551,7440,26784,1
69.223,200,272,28680,242608,7526,26818,1
69.486,200,273,29577,242790,7691,26877,1
69.736,200,274,30502,242842,7606,26963,1
69.992,200,275,31455,243063,7527,27075,1
70.216,200,276,32438,242299,7437,27213,1
70.471,200,277,33451,242540,7331,27378,1
70.726,200,278,34496,242764,7262,27569,1
70.982,200,279,35575,242980,7209,27786,1
71.217,200,280,36686,242519,7158,28031,1
71.471,200,281,37833,242692,7096,28302,1
71.726,200,282,39016,242881,7037,28601,1
71.980,200,283,40235,243055,6968,28927,1
72.214,200,284,41492,242604,6898,29282,1
72.468,200,285,42789,242793,6826,29664,1
72.723,200,286,44126,243010,6775,30075,1
72.977,200,287,42660,243182,6718,30515,1
73.214,200,288,41244,242812,6655,30896,1
73.468,200,289,39874,243000,6593,31221,1
73.724,200,290,38550,243200,6560,31493,1
73.977,200,291,37270,243350,6503,31715,1
74.216,200,292,36032,243035,6432,31889,1
74.471,200,293,34836,243230,6389,32020,1
74.725,200,294,33680,243396,6329,32109,1
74.980,200,295,32562,243593,6284,32160,1
75.215,200,296,31480,243154,6243,32174,1
75.469,200,297,30434,243320,6207,32154,1
75.724,200,298,29424,243488,6173,32102,1
75.978,200,299,28446,243638,6124,32020,1
76.215,200,300,27502,243240,6098,31910,1
76.469,200,301,26588,243420,6063,31773,1
76.733,200,302,25706,243704,6190,31613,1
76.994,200,303,24852,243875,6338,31433,1
77.225,200,304,24028,242355,6425,31231,1
77.485,200,305,23230,242587,6495,31010,1
77.745,200,306,22458,242810,6573,30769,1
77.997,200,307,21712,242908,6500,30510,1
78.224,200,308,22391,241993,6696,30236,1
78.472,200,309,23090,241986,6647,29992,1
78.726,200,310,23811,242176,6585,29778,1
78.982,200,311,24556,242411,6544,29592,1
79.215,200,312,25323,241933,6514,29435,1
79.470,200,313,26114,242146,6481,29307,1
79.725,200,314,26931,242342,6435,29208,1
79.979,200,315,27772,242534,6368,29137,1
80.216,200,316,28639,242210,6303,29096,1
80.471,200,317,29534,242441,6257,29083,1
80.725,200,318,30457,242639,6209,29098,1
80.980,200,319,31408,242831,6174,29141,1
81.214,200,320,32389,242376,6137,29213,1
81.469,200,321,33402,242582,6106,29314,1
81.724,200,322,34445,242792,6067,29442,1
81.979,200,323,35522,242999,6039,29599,1
82.217,200,324,36633,242642,6004,29784,1
82.472,200,325,37778,242861,5984,29999,1
82.727,200,326,38959,243058,5950,30246,1
82.981,200,327,37665,243235,5893,30523,1
83.214,200,328,36415,242782,5834,30748,1
83.469,200,329,35205,243007,5785,30927,1
83.725,200,330,34037,243222,5755,31061,1
83.979,200,331,32907,243395,5719,31155,1
84.214,200,332,31815,242990,5690,31210,1
84.469,200,333,30759,243164,5673,31229,1
84.723,200,334,29737,243334,5643,31216,1
85.022,200,335,28749,244774,5753,37678,1
85.252,200,336,27795,244026,5805,37402,1
85.542,200,337,26873,245203,5859,37104,1
85.833,200,338,25979,246370,5905,36788,1
86.096,200,339,25115,246701,5908,36452,1
86.358,200,340,24281,246970,5905,36100,1
86.621,200,341,23475,247234,5910,35732,1
86.882,200,342,22695,247467,5890,35350,1
87.143,200,343,21941,247710,5866,34957,1
87.405,200,344,21211,247926,5865,34552,1
87.663,200,345,20507,247955,5930,34138,1
87.917,200,346,19827,247854,6003,33716,1
88.171,200,347,19169,247744,6072,33285,1
88.426,200,348,18533,247650,6157,32846,1
88.680,200,349,17917,247547,6228,32404,1
88.938,200,350,17321,247563,6306,31955,1
89.197,200,351,16745,247601,6387,31503,1
89.455,200,352,16189,247645,6436,31044,1
89.713,200,353,16694,247713,6464,30583,1
89.972,200,354,17215,247792,6500,30151,1
90.222,200,355,17752,247561,6534,29750,1
90.481,200,356,18307,247639,6577,29378,1
90.739,200,357,18880,247706,6605,29036,1
90.998,200,358,19471,247789,6640,28724,1
91.231,200,359,20080,246718,6983,28439,1
91.481,200,360,20707,246502,7055,28182,1
91.739,200,361,21354,246550,7102,27954,1
91.998,200,362,22021,246626,7146,27752,1
92.224,200,363,22710,245679,7196,27576,1
92.483,200,364,23419,245778,7243,27427,1
92.742,200,365,24150,245878,7313,27306,1
93.001,200,366,24905,245954,7358,27212,1
93.222,200,367,25684,244857,7415,27144,1
93.484,200,368,26487,244960,7552,27101,1
93.739,200,369,27314,244977,7574,27086,1
93.997,200,370,28167,245112,7571,27098,1
94.220,200,371,29048,244173,7563,27135,1
94.479,200,372,29955,244359,7563,27198,1
94.735,200,373,30892,244533,7463,27285,1
94.993,200,374,31857,244821,7362,27399,1
95.222,200,375,32852,244021,7426,27540,1
95.476,200,376,33879,244161,7342,27708,1
95.735,200,377,34938,244446,7272,27903,1
95.997,200,378,36029,244708,7312,28125,1
96.224,200,379,37154,243839,7357,28375,1
96.482,200,380,38315,243987,7396,28653,1
96.742,200,381,39512,244126,7480,28959,1
96.999,200,382,40747,244190,7514,29292,1
97.219,200,383,42020,243235,7435,29652,1
97.477,200,384,43333,243536,7353,30041,1
97.735,200,385,44688,243830,7271,30458,1
97.993,200,386,43204,244121,7190,30905,1
98.223,200,387,41770,243355,7244,31290,1
98.477,200,388,40382,243532,7171,31620,1
98.736,200,389,39040,243834,7094,31896,1
98.994,200,390,37744,244123,7011,32121,1
99.219,200,391,36490,243337,6967,32298,1
99.477,200,392,35280,243627,6901,32431,1
99.735,200,393,34110,243921,6831,32522,1
99.997,200,394,32976,244237,6839,32576,1
100.224,200,395,31882,243462,6808,32591,1
100.481,200,396,30824,243644,6800,32570,1
100.737,200,397,29800,243773,6767,32516,1
100.991,200,398,28810,243892,6723,32433,1
101.216,200,399,27854,243116,6665,32320,1
101.471,200,400,26930,243317,6615,32181,1
101.725,200,401,26036,243485,6557,32018,1
101.981,200,402,25170,243678,6519,31832,1
102.217,200,403,24334,243251,6478,31625,1
102.473,200,404,23526,242780,6433,31398,1
102.739,200,405,22744,243252,6454,31156,1
103.010,200,406,21990,243572,6739,30898,1
103.218,200,407,21260,242208,6714,30623,1
103.477,200,408,20554,242472,6695,30332,1
103.730,200,409,21197,242635,6618,30028,1
103.984,200,410,21860,242841,6541,29752,1
104.215,200,411,22543,242258,6530,29507,1
104.469,200,412,23248,242439,6468,29291,1
104.723,200,413,23975,242645,6409,29103,1
104.978,200,414,24724,242833,6354,28944,1
105.214,200,415,25497,242456,6309,28814,1
105.476,200,416,26294,242765,6399,28713,1
105.735,200,417,27115,242941,6446,28641,1
105.993,200,418,27962,243148,6478,28595,1
106.221,200,419,28835,242388,6520,28578,1
106.480,200,420,29736,242621,6564,28590,1
106.739,200,421,30665,242855,6591,28630,1
106.998,200,422,31624,243086,6619,28697,1
107.230,200,423,32613,242168,6954,28792,1
107.481,200,424,33632,242106,7017,28914,1
107.740,200,425,34683,242320,7068,29064,1
107.995,200,426,35766,242515,7007,29242,1
108.218,200,427,36883,241750,6946,29448,1
108.476,200,428,38036,242094,6877,29682,1
108.735,200,429,39225,242448,6822,29944,1
108.993,200,430,40450,242772,6740,30236,1
109.220,200,431,39108,242128,6670,30556,1
109.479,200,432,37810,242490,6614,30824,1
109.739,200,433,36554,242833,6567,31044,1
110.000,200,434,35340,243169,6587,31230,1
110.220,200,435,34168,242196,6579,31360,1
110.514,200,436,33032,242489,7676,31455,1
110.744,200,437,31936,241573,7795,31511,1
111.001,200,438,30876,241664,7854,31529,1
111.224,200,439,29850,240695,7948,31512,1
111.479,200,440,28860,240870,7925,31463,1
111.735,200,441,27900,241181,7812,31383,1
111.994,200,442,26972,241575,7704,31275,1
112.221,200,443,26076,240961,7620,31142,1
112.480,200,444,25210,241333,7535,30985,1
112.742,200,445,24372,241701,7571,30807,1
113.001,200,446,23562,241926,7606,30610,1
113.224,200,447,22780,241008,7640,30395,1
113.483,200,448,22022,241248,7689,30159,1
113.741,200,449,22711,241469,7735,29908,1
114.001,200,450,23420,241705,7795,29687,1
114.222,200,451,24151,240730,7830,29494,1
114.479,200,452,24906,240961,7818,29329,1
114.740,200,453,25685,241236,7897,29194,1
114.999,200,454,26488,241414,7957,29090,1
115.224,200,455,27315,240496,8054,29010,1
115.476,200,456,28168,240690,7957,28959,1
115.734,200,457,29049,241067,7863,28935,1
115.993,200,458,29956,241442,7771,28940,1
116.218,200,459,30893,240756,7677,28974,1
116.475,200,460,31858,241138,7567,29035,1
116.734,200,461,32853,241524,7486,29125,1
116.992,200,462,33880,241880,7397,29244,1
117.218,200,463,34939,241198,7332,29391,1
117.480,200,464,36030,241618,7304,29566,1
117.743,200,465,37155,241993,7364,29773,1
118.003,200,466,38316,242230,7417,30006,1
118.227,200,467,37044,241335,7469,30268,1
118.488,200,468,35814,241599,7529,30483,1
118.739,200,469,34624,241734,7439,30653,1
118.995,200,470,33476,242008,7350,30782,1
119.216,200,471,32366,241127,7288,30868,1
119.470,200,472,31290,241379,7214,30917,1
119.724,200,473,30250,241594,7122,30930,1
119.982,200,474,29246,241925,7054,30911,1
120.219,200,475,28274,241590,7009,30861,1
120.477,200,476,27334,241914,6940,30782,1
